,avg_raid_point,avg_tackle_points,dod_raid_points,high_5s,matches_played,player_id,player_name,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,team_name,total_points
342,,,,,1,2320,Mohit Balyan,,,1,,,1,2,U Mumba,2
343,0.5,0.33,1,,3,2480,Hemant Chauhan,1,1,1,,,,1,Tamil Thalaivas,2
344,0.5,,1,,5,2335,Vimal Raj V,2,2,,,,,,Tamil Thalaivas,2
345,,0.33,,,3,241,Ravit Kumar,1,1,1,,,,1,Telugu Titans,2
346,,0.4,,,5,279,Shashank Wankhede,,,2,,,,2,Bengal Warriors,2
347,,,2,,1,263,Jay Bahadur Bohara,2,1,,,,,,Puneri Paltan,2
348,,,1,,2,316,Nirbhay Narwal,1,1,1,,,,1,Bengaluru Bulls,2
349,,1,,,2,308,Sushil Vijay Bhosle,,,2,,,,2,Bengal Warriors,2
350,,1,,,2,726,Babu M,,,2,,,,2,Haryana Steelers,2
351,,,,,1,708,N. Shiva Ramakrishna,,,1,,,1,2,Jaipur Pink Panthers,2
352,1,,,,2,698,Vishav Chaudhary,2,1,,,,,,U.P. Yoddha,2
353,,,,,5,392,Kuldeep,,,2,,,,2,Bengal Warriors,2
354,,,,,2,5,Farhad Kamal Gharibi,,,1,,,1,2,Bengal Warriors,2
355,,,,,1,9,Takamitsu Kono,1,1,1,,,,1,Puneri Paltan,2
356,0.33,,,,9,11,Dong Ju Hong,2,1,,,,,,U Mumba,2
357,,0.5,,,4,144,Gokul Shitole,,,2,,,,2,Jaipur Pink Panthers,2
358,,,,,6,145,Md. Aruduzzaman Munshi,2,2,,,,,,U Mumba,2
359,0.67,,1,,3,225,Sandeep Tomar,2,2,,,,,,Dabang Delhi K.C.,2
360,0.5,,2,,4,227,Vinoth Paulyas,2,2,,,,,,Patna Pirates,2
361,,0.67,,,3,221,Anoop E.V.,,,2,,,,2,U Mumba,2
362,,,,,1,205,Sandeep Malik,,,1,,,1,2,Puneri Paltan,2
363,,0.5,,,4,206,Aman Kumar,,,2,,,,2,Patna Pirates,2
364,0.33,,1,,3,210,Sunny,1,,,,,,,Patna Pirates,1
365,,1,,,1,201,Adinath Sakharam Gavali,,,1,,,,1,U Mumba,1
366,0,,,,3,193,Rohit Kumar Prajapat,,,1,,,,1,Jaipur Pink Panthers,1
367,,,,,2,199,Kazuhiro Takano,1,1,,,,,,Jaipur Pink Panthers,1
368,,,,,2,224,Inderpal Bishnoi,1,1,,,,,,Dabang Delhi K.C.,1
369,,,,,1,237,Amit Kumar,,,1,,,,1,Puneri Paltan,1
370,,0.25,,,4,148,Sunil Subhash Lande,,,1,,,,1,Puneri Paltan,1
371,,0.33,,,3,17,Atif Waheed,,,1,,,,1,Telugu Titans,1
372,,,,,2,74,Nithesh B R,,,1,,,,1,Bengaluru Bulls,1
373,,,,,3,509,Mohammad Taghi Paein Mahali,,,1,,,,1,Bengal Warriors,1
374,,,1,,1,513,Yong Joo Ok,1,1,,,,,,U Mumba,1
375,0,,,,3,580,Vishnu Uthaman,,,1,,,,1,Patna Pirates,1
376,,,,,2,705,Ajvender Singh,,,1,,,,1,U.P. Yoddha,1
377,,0.25,,,4,312,Sanju,,,1,,,,1,Dabang Delhi K.C.,1
378,,,,,1,307,Ravinandan G.M.,,,1,,,,1,Dabang Delhi K.C.,1
379,,,,,1,296,Navjot Singh,,,1,,,,1,Dabang Delhi K.C.,1
380,,,1,,1,315,Parvesh Attri,1,1,,,,,,Bengaluru Bulls,1
381,,,,,1,317,Hardeep Duhan,,,1,,,,1,Bengaluru Bulls,1
382,,,,,1,373,Parveen Narwal,1,1,,,,,,Jaipur Pink Panthers,1
383,,1,,,1,364,Ajay Singh,,,1,,,,1,Bengaluru Bulls,1
384,,,1,,1,367,Nitin Kumar,1,1,,,,,,U Mumba,1
385,,0.33,,,3,239,Jishnu,,,1,,,,1,Telugu Titans,1
386,,0.33,,,3,2351,Vikram Kandola,,,1,,,,1,Haryana Steelers,1
387,,,,,2,2025,Ajinkya Rohidas Kapre,1,1,,,,,,U Mumba,1
388,,,,,3,774,Munish,1,,,,,,,Telugu Titans,1
389,,0.33,,,3,2671,Naveen Narwal,,,1,,,,1,Bengal Warriors,1
390,,,,,2,2668,Sumit,,,1,,,,1,Dabang Delhi K.C.,1
391,,,,,1,2515,Vikas Chhillar,1,1,,,,,,Haryana Steelers,1
392,,,,,1,2489,Satywan,,,1,,,,1,Dabang Delhi K.C.,1
393,,,,,3,2482,Aashish Nagar,,,1,,,,1,U.P. Yoddha,1
394,,,,,2,2501,Aman,,,1,,,,1,Bengaluru Bulls,1
