,Date,Time,Status,Team 1,Team 2,Score,Result,Year
133,"Sunday, 30 December",21:00 (IST),Eliminator 2 - Completed ,Dabang,Bengal,39  - 28,Dabang Delhi K.C. beat Bengal Warriors (39-28),2018
134,"Monday, 31 December",20:00 (IST),Qualifier 1 - Completed ,Gujarat,Bengaluru,29  - 41,Bengaluru Bulls beat Gujarat Fortunegiants (41-29),2018
135,"Monday, 31 December",21:00 (IST),Eliminator 3 - Completed ,U.P.,Dabang,45  - 33,U.P. Yoddha beat Dabang Delhi K.C. (45-33),2018
136,"Thursday, 03 January",20:00 (IST),Qualifier 2 - Completed ,Gujarat,U.P.,38  - 31,Gujarat Fortunegiants beat U.P. Yoddha (38-31),2018
137,"Saturday, 05 January",20:00 (IST),Final - Completed ,Bengaluru,Gujarat,38  - 33,Bengaluru Bulls beat Gujarat Fortunegiants (38-33),2018
0,"Friday, 28 July",21:00 (IST),Match 2 - Completed ,U,Puneri,21  - 33,Puneri Paltan beat U Mumba (33-21),2017
1,"Saturday, 29 July",20:00 (IST),Match 3 - Completed ,Jaipur,Dabang,26  - 30,Dabang Delhi K.C. beat Jaipur Pink Panthers (30-26),2017
2,"Saturday, 29 July",21:00 (IST),Match 4 - Completed ,Telugu,Patna,29  - 35,Patna Pirates beat Telugu Titans (35-29),2017
3,"Sunday, 30 July",20:00 (IST),Match 5 - Completed ,U,Haryana,29  - 28,U Mumba beat Haryana Steelers (29-28),2017
4,"Sunday, 30 July",21:00 (IST),Match 6 - Completed ,Telugu,Bengaluru,21  - 31,Bengaluru Bulls beat Telugu Titans (31-21),2017
5,"Tuesday, 01 August",20:00 (IST),Match 7 - Completed ,Gujarat,Dabang,26  - 20,Gujarat Fortunegiants beat Dabang Delhi K.C. (26-20),2017
6,"Tuesday, 01 August",21:00 (IST),Match 8 - Completed ,Telugu,U.P.,18  - 31,U.P. Yoddha beat Telugu Titans (31-18),2017
7,"Wednesday, 02 August",20:00 (IST),Match 9 - Completed ,Gujarat,Haryana,27  - 27,Match Tied,2017
8,"Wednesday, 02 August",21:00 (IST),Match 10 - Completed ,Telugu,Bengal,24  - 30,Bengal Warriors beat Telugu Titans (30-24),2017
9,"Thursday, 03 August",20:00 (IST),Match 11 - Completed ,Telugu,Patna,36  - 43,Patna Pirates beat Telugu Titans (43-36),2017
10,"Friday, 04 August",20:00 (IST),Match 12 - Completed ,Bengaluru,Tamil,32  - 31,Bengaluru Bulls beat Tamil Thalaivas (32-31),2017
11,"Friday, 04 August",21:00 (IST),Match 13 - Completed ,Puneri,Dabang,26  - 21,Puneri Paltan beat Dabang Delhi K.C. (26-21),2017
12,"Saturday, 05 August",20:00 (IST),Match 14 - Completed ,U,Dabang,36  - 22,U Mumba beat Dabang Delhi K.C. (36-22),2017
13,"Saturday, 05 August",21:00 (IST),Match 15 - Completed ,Bengaluru,U.P.,27  - 32,U.P. Yoddha beat Bengaluru Bulls (32-27),2017
14,"Sunday, 06 August",20:00 (IST),Match 16 - Completed ,Bengal,U.P.,40  - 20,Bengal Warriors beat U.P. Yoddha (40-20),2017
15,"Sunday, 06 August",21:00 (IST),Match 17 - Completed ,Bengaluru,Patna,32  - 46,Patna Pirates beat Bengaluru Bulls (46-32),2017
16,"Tuesday, 08 August",20:00 (IST),Match 18 - Completed ,Gujarat,Haryana,20  - 32,Haryana Steelers beat Gujarat Fortunegiants (32-20),2017
17,"Tuesday, 08 August",21:00 (IST),Match 19 - Completed ,Bengaluru,Telugu,21  - 21,Match Tied,2017
18,"Wednesday, 09 August",20:00 (IST),Match 20 - Completed ,Bengaluru,Bengal,31  - 25,Bengaluru Bulls beat Bengal Warriors (31-25),2017
19,"Thursday, 10 August",20:00 (IST),Match 21 - Completed ,Puneri,Jaipur,28  - 30,Jaipur Pink Panthers beat Puneri Paltan (30-28),2017
20,"Thursday, 10 August",21:00 (IST),Match 22 - Completed ,Bengaluru,Tamil,24  - 29,Tamil Thalaivas beat Bengaluru Bulls (29-24),2017
21,"Friday, 11 August",20:00 (IST),Match 23 - Completed ,Gujarat,U,39  - 21,Gujarat Fortunegiants beat U Mumba (39-21),2017
22,"Saturday, 12 August",20:00 (IST),Match 24 - Completed ,Telugu,U.P.,32  - 39,U.P. Yoddha beat Telugu Titans (39-32),2017
23,"Saturday, 12 August",21:00 (IST),Match 25 - Completed ,Gujarat,Dabang,29  - 25,Gujarat Fortunegiants beat Dabang Delhi K.C. (29-25),2017
24,"Sunday, 13 August",20:00 (IST),Match 26 - Completed ,Patna,U.P.,27  - 27,Match Tied,2017
